ID;Empresa;Año_creacion;CNAE_SECTOR;num_cnae;CNAE;Objeto_social;CNAE_SECCIÓN;CNAE_DIVISIÓN;Sector;Localidad;Provincia;Ventas;Empleados;Telefono;Web;Email
1;Jesus Navarro Sa;1984;Industria;1084;1084 - elaboración de especias, salsas y condimentos;comercio al por mayor, envasado y fabricacion de productos alimenticios.;Industria manufacturera;Industria de la alimentación;especias_infusiones;Novelda;Alicante;Mayor 30 millones;Mas de 250;965600150;www.carmencita.com;----
2;Tartaros Gonzalo Castello Sl;1990;Industria;2014;2014 - fabricación de otros productos básicos de química orgánica;elaboración y comercio al mayor de aditivos sales y ésteres del ácido tartárico natural,también edulcorantes de todo tipo.;Industria manufacturera;Industria química;quimico;Novelda;Alicante;Mayor 30 millones;Entre 50 y 250 ;965602489;www.tartaric.com;tartaric@tartaric.com
3;Quimica 21 Sl;1990;Industria;2014;2014 - fabricación de otros productos básicos de química orgánica;fabricación de productos químicos para la extinción de incendios (polvos e…;Industria manufacturera;Industria química;quimico;Orihuela;Alicante;Entre 6 y 30 millones;Entre 5 y 25;966742380;www.quimica21.es;quimica21@quimica21.es
4;Levantina Marmol Slu;2021;Industria;2370;2370 - corte, tallado y acabado de la piedra;"1. adquisición, manipulación, aserrado, tratamiento industrial en factorías, serrerías o talleres, por cualquier procedimiento idóneo, de todo tipo de mármoles y materiales derivados de los mismos; su transporte, almacenamiento, comercialización, distribución, importación y exportación, y venta, al";Industria manufacturera;Fabricación de otros productos minerales no metálicos;marmol;Novelda;Alicante;Mayor 30 millones;Entre 50 y 250;965609184;www.levantina.com;----
5;Martinez y Canto Sl;1981;Servicios;8292;8292 - actividades de envasado y empaquetado;envasado de infusiones.;Actividades administrativas y servicios auxiliares;Actividades administrativas de oficina y otras actividades auxiliares a las empresas;fabricacion_industrial;Novelda;Alicante;Mayor 30 millones;Entre 50 y 250;965600200; www.martinezycanto.com;info@martinezycanto.com
6;Levgranite Slu;2021;Industria;2370;2370 - corte, tallado y acabado de la piedra;"1. extracción, adquisición, manipulación, aserrado, tratamiento industrial en factorías, serrerías o talleres, por cualquier procedimiento idóneo, de todo tipo de granitos y materiales derivados de los mismos; su transporte, almacenamiento, comercialización, distribución, importación y exportación,";Industria manufacturera;Fabricación de otros productos minerales no metálicos;marmol;Novelda;Alicante;Mayor 30 millones;Entre 50 y 250;965609184;www.levantina.com;----
7;Levantina y Asociados de Minerales Sa;2005;Industria;2370;2370 - corte, tallado y acabado de la piedra;extracción y tratamiento de piedra natural;Industria manufacturera;Fabricación de otros productos minerales no metálicos;marmol;Novelda;Alicante;Entre 6 y 30 millones;Más de 250;965609184;www.levantina.com;----
8;Sumarindustrial Sl;2021;Servicios;4614;4614 - intermediarios del comercio de maquinaria, equipo industrial, embarcaciones y aeronaves;la producción, fabricación, venta y/o distribución de toda clase de bienes de equipo, maquinaria, herramientas, útiles, y, en general, productos de cualquier clase, necesarios y complementarios para la industria manufacturera de cualquier sector. la fabricación, adquisición, almacenamiento y venta;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;fabricacion_industrial;Novelda;Alicante;Entre 6 y 30 millones;----;965601312;----;luis.soler@sumarindustrial.es
9;Azaconsa Sl;1985;Industria;1083;1083 - elaboración de café, té e infusiones;fabricación de infusiones, edulcorantes y envases de especias.;Industria manufacturera;Industria de la alimentación;especias_infusiones;Novelda;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965600477;www.azaconsa.com;info@azaconsa.com
10;Levantina techlam sl;2021;Industria;2331;2331 - fabricación de azulejos y baldosas de cerámica;1. fabricación, elaboración, diseño y comercialización de materiales sinterizados, porcelánicos o derivados de piedras y arenas naturales. 2. fabricación y comercialización de materiales de construcción y artículos para la rehabilitación, decoración de toda clase de inmuebles. 3. la investigación, d;Industria manufacturera;Fabricación de otros productos minerales no metálicos;marmol;Novelda;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965609184;www.levantina.com;----
11;La Barraca Alimentacion Slu;2017;Industria;1084;1084 - elaboración de especias, salsas y condimentos;elaboración, envasado y venta de especias y condimentos.;Industria manufacturera;Industria de la alimentación;especias_infusiones;Novelda;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965600092;www.labarraca1912.com;info@labarraca1912.com
12;Quimicas Novelda Sl;2003;Servicios;4675;4675 - comercio al por mayor de productos químicos;intermediarios de productos quimicos;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;quimico;Novelda;Alicante;Entre 6 y 30 millones;Entre 5 y 25 mill;965603343; www.quimicasnovelda.com;tartaric@tartaric.com
13;Cable Aireworld Sa;1988;Servicios;6110;6110 - telecomunicaciones por cable;emisión, sonido,radiodifusión,servicios de enlace y transmisión de señales de tv.;Información y comunicaciones;Telecomunicaciones;telecomunicaciones;Novelda;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965605679;www.cableworld.es;informacion@cableworld.es
14;Fiorantina Stone Sa;2006;Servicios;4673;4673 - comercio al por mayor de madera, materiales de construcción y aparatos sanitarios;comercio al mayor de mármol, granito, piedra natural...;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;otros_comercios;Novelda;Alicante;Entre 6 y 30 millones;Entre 5 y 25 mill;966197838;www.fiorantina.com;marketing@fiorantina.com
15;Verdu Canto Saffronspain Sl;1979;Servicios;4637;4637 - comercio al por mayor de café, té, cacao y especias;envasado y comercialización de especias (azafrán, colorante y pimentón).;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;especias_infusiones;Novelda;Alicante;Entre 6 y 30 millones;Entre 5 y 25 mill;965600078;www.saffron-spain.com;admin@saffron-spain.com
16;Luis Penalva Sl;1986;Industria;1084;1084 - elaboración de especias, salsas y condimentos;elaboracion de especias.;Industria manufacturera;Industria de la alimentación;especias_infusiones;Novelda;Alicante;Entre 6 y 30 millones;Entre 5 y 25 mill;965600292;www.chiquilin.com;chiquilin@chiquilin.com
17;Antonio Garcia Iñesta Sl;1970;Industria;1084;1084 - elaboración de especias, salsas y condimentos;compra, elaboración y envasado y venta de especias, en especial del azafrán;Industria manufacturera;Industria de la alimentación;especias_infusiones;Novelda;Alicante;Entre 6 y 30 millones;Entre 5 y 25 mill;965600387;----;antonio@gatheringsaffron.es
18;Corniplastec Sl;2005;Industria;2014;2014 - fabricación de otros productos básicos de química orgánica;la fabricacion de envases y moldes de poliestileno para la construccion;Industria manufacturera;Industria química;quimico;Elche;Alicante;Entre 300 y 600 mil;Menos de 5;965400013;----;----
19;Bitcoinforme Sl;2015;Servicios;6201;6201 - actividades de programación informática;tecnología financiera. empresa fintech especializada en la tecnología blockchain.;Información y comunicaciones;Programación, consultoría y otras actividades relacionadas con la informática;informatica;Elche;Alicante;Mayor 30 millones;Mas de 250;910913788;www.bit2me.com;info@bit2me.com
20;Neumaticos Soledad SI;1986;Servicios;4531;4531 - comercio al por mayor de repuestos y accesorios de vehículos de motor;comercialización de neumáticos y accesorios para el automovil;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Venta y reparación de vehículos de motor y motocicletas;motor;Elche;Alicante;Mayor 30 millones;Mas de 250;965495676;www.gruposoledad.com;info@gruposoledad.com
21;Serramovil Sa;1989;Servicios;4511;4511 - venta de automóviles y vehículos de motor ligeros;concesionario oficial volkswagen y audi, taller y venta de recambios.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Venta y reparación de vehículos de motor y motocicletas;motor;Elche;Alicante;Mayor 30 millones;Entre 50 y 250;966612028;www.serramovil.es;administracion@serranomovil.audi.es
22;Hiperber Distribucion y Logistica Sa;2003;Servicios;4729;4729 - otro comercio al por menor de productos alimenticios en establecimientos especializados;venta de productos de alimentación en supermercados;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por menor, excepto de vehículos de motor y motocicletas;alimentacion;Elche;Alicante;Mayor 30 millones;Mas de 250;966108080;www.hiperber.es;rsanjuan@hiperber.es
23;Hierros Mora Anton Sau;1987;Servicios;4672;4672 - comercio al por mayor de metales y minerales metálicos;distribución de productos siderurgicos.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;metal;Elche;Alicante;Mayor 30 millones;Entre 50 y 250;966664151;www.grupomora.com;central@grupomora.com
24;Aire Networks del Mediterraneo Slu;2002;Servicios;6190;6190 - otras actividades de telecomunicaciones;distribución e instalación de sistemas de telecomunicaciones.;Información y comunicaciones;Telecomunicaciones;telecomunicaciones;Elche;Alicante;Mayor 30 millones;Entre 50 y 250;911090000;www.airenetworks.es;info@airenetworks.es
25;Gioseppo Slu;1990;Servicios;4642;4642 - comercio al por mayor de prendas de vestir y calzado;comercio al por mayor de calzado y complementos de señora, caballero y niños;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;calzado;Elche;Alicante;Mayor 30 millones;Entre 50 y 250;965682767;www.gioseppo.com;gioseppo@gioseppo.com
26;Play Hawkers Sl;2013;Servicios;4690;4690 - comercio al por mayor no especializado;venta y distribucion de gafas de sol y accesorios;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;otros_comercios;Elche;Alicante;Mayor 30 millones;Entre 50 y 250;865600104;www.hawkersco.com;----
27;Manolet Almonds Sl;2008;Servicios;4631;4631 - comercio al por mayor de frutas y hortalizas;comercio al por mayor de frutos secos.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;alimentacion;Elche;Alicante;Mayor 30 millones;Entre 50 y 250;865660033;www.manolet.com;info@manolet.com
28;Hispamovil Sa;1987;Servicios;4511;4511 - venta de automóviles y vehículos de motor ligeros;venta y reparación de vehículos automóviles. concesionario oficial bmw.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Venta y reparación de vehículos de motor y motocicletas;motor;Elche;Alicante;Mayor 30 millones;Entre 50 y 250;966610101;www.hispamovil.concesionariobmw.es;hispamovil@hispamovil.net.bmw.es
29;Auto fima sl;1992;Servicios;4511;4511 - venta de automóviles y vehículos de motor ligeros;concesionario oficial hyundai venta,post-venta y reparación.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Venta y reparación de vehículos de motor y motocicletas;motor;Elche;Alicante;Mayor 30 millones;Entre 25 y 50;965431601;www.autofima.com;autofima@autofima.com
30;C3 Systems sl;2009;Industria;2512;2512 - fabricación de carpintería metálica;desarrollo, fabricación y comercialización de sistemas de cerramientos acristalados verticales y horizontales.;Industria manufacturera;Fabricación de productos metálicos, excepto maquinaria y equipo;metal;Elche;Alicante;Entre 6 y 30 millones;Entre 50 y 250;966286186;www.c3systems.es;c3systems@c3systems.es
31;Bodega Campoluz Sl;1999;Servicios;4634;4634 - comercio al por mayor de bebidas;venta y distribución de vino;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;bebidas;Elche;Alicante;Entre 6 y 30 millones;Entre 25 y 50;965681862;www.bodegacampoluz.com;info@bodegacampoluz.com
32;Sanchis Mira Sa;1932;Industria;1082;1082 - fabricación de cacao, chocolate y productos de confitería;elaboración de productos de confitería, principalmente turrones.;Industria manufacturera;Industria de la alimentación;turron;Jijona;Alicante;Mayor 30 millones;Entre 50 y 250;965610400;www.antiuxixona.com;ax@sanchis-mira.com
33;Sirvent Almendras Sa;1978;Agricultura;125;0125 - cultivo de otros árboles y arbustos frutales y frutos secos;repelado industrial de la almendra.;Agricultura, ganadería, silvicultura y pesca;Agricultura, ganadería, caza y servicios relacionados con las mismas;alimentacion;Jijona;Alicante;Entre 6 y 30 millones;Entre 25 y 50;965611075;www.sirventalmendras.com;info@sirventalmendras.com
34;Prezero Reciclados y Compostaje Piedra Negra Sa;2001;Industria;3821;3821 - tratamiento y eliminación de residuos no peligrosos;tratamiento de residuos urbanos;Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;"Recogida, tratamiento y eliminación de residuos; valorización";tratamiento_residuos;Jijona;Alicante;Entre 6 y 30 millones;Entre 25 y 50;965975078;www.prezeropiedranegra.org;----
35;Turrrones y Helados Onza de Oro Sa;1987;Industria;1082;1082 - fabricación de cacao, chocolate y productos de confitería;elaboración y comercialización de turrones y helados.;Industria manufacturera;Industria de la alimentación;turron;Jijona;Alicante;Entre 1,5 y 3 millones;Entre 5 y 25;965612351;www.onzaoro.com;ventas@onzaoro.com
36;Arte-Xixona Sl;1996;Industria;1721;"1721 - fabricación de papel y cartón ondulados; fabricación de envases y embalajes de papel y cartón";fabricación de estuches de cartón, principalmente para el sector alimentario.;Industria manufacturera;Industria del papel;fabricacion_industrial;Jijona;Alicante;Entre 6 y 30 millones;Entre 25 y 50;965610887;www.arte-xixona.com;arte@arte-xixona.com
37;Mazapanes de Jijona Sl;1990;Industria;1082;1082 - fabricación de cacao, chocolate y productos de confitería;elaboración de turrones,mazapanes y bases para pastelería.;Industria manufacturera;Industria de la alimentación;turron;Jijona;Alicante;Entre 0,6 y 1,5 millones;Entre 5 y 25;965611893;www.crendis.com;----
38;Coloma Garcia Sl;1979;Industria;1082;1082 - fabricación de cacao, chocolate y productos de confitería;elaboración de turrones y dulces.;Industria manufacturera;Industria de la alimentación;turron;Jijona;Alicante;Entre 3 y 6 millones;Entre 5 y 25;965610696;www.colomagarcia.com;artesanos@colomagarcia.com
39;Jijona Sa (el abuelo);1931;Industria;1082;1082 - fabricación de cacao, chocolate y productos de confitería;elaboración de turrones.;Industria manufacturera;Industria de la alimentación;turron;Jijona;Alicante;Entre 3 y 6 millones;Entre 5 y 25;965610081;www.elabuelo.es;elabuelo@jijonasa.com
40;Horchateros Artesanos Sl;1990;Industria;1052;1052 - elaboración de helados;explotacion del negocio de helados.;Industria manufacturera;Industria de la alimentación;helados;Jijona;Alicante;Entre 300 y 600 mil;Entre 5 y 25;965612952;http://www.horchateros.com;correo@horchateros.com
41;J'hayber Sl;1972;Servicios;4642;4642 - comercio al por mayor de prendas de vestir y calzado;comercio mayor de prendas de vestir , calzado y complementos deportivos;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;calzado;Elche;Alicante;Entre 6 y 30 millones;Entre 25 y 50;965457912;www.jhayber.com;info@jhayber.com
42;Industrias Jijonencas de la Madera Sl;1987;Industria;1624;1624 - fabricación de envases y embalajes de madera;fabricación de estuches de embalaje.;Industria manufacturera;"Industria de la madera y del corcho, excepto muebles; cestería y espartería";fabricacion_industrial;Jijona;Alicante;Entre 0,6 y 1,5 millones;Entre 5 y 25;965610566;www.injima.com;injima@injima.com
43;Turrones Pico Sa;1966;Industria;1082;1082 - fabricación de cacao, chocolate y productos de confitería;producción de turrones y dulces.;Industria manufacturera;Industria de la alimentación;turron;Jijona;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965610040;www.turronpico.com;info@turronpico.com
44;Turrones Artesanos de Jijona Sa;1984;Industria;1082;1082 - fabricación de cacao, chocolate y productos de confitería;fabricacion de turrones;Industria manufacturera;Industria de la alimentación;turron;Jijona;Alicante;Entre 0,6 y 1,5 millones;Entre 5 y 25;965610853;https://elartesano.es;----
